Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"836","CHINA RESOURCES POWER LTD","Versorger","Aktien","731.138,30","0,06","731.138,30","326.823,00","2,24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1171","YANKUANG ENERGY GROUP COMPANY LTD","Energie","Aktien","730.000,26","0,06","730.000,26","270.000,00","2,70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PZU","PZU SA","Financials","Aktien","728.220,87","0,06","728.220,87","100.890,00","7,22","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"CBQK","COMMERCIAL BANK OF QATAR","Financials","Aktien","726.478,75","0,06","726.478,75","348.204,00","2,09","Qatar","Qatar Exchange","QAR"
"PEO","BANK PEKAO SA","Financials","Aktien","721.816,89","0,06","721.816,89","30.945,00","23,33","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"011070","LG INNOTEK LTD","IT","Aktien","720.801,14","0,06","720.801,14","2.508,00","287,40","Korea","Korea Exchange (Stock Market)","KRW"
"EICHERMOT","EICHER MOTORS LTD","Zyklische Konsumgüter ","Aktien","718.953,71","0,06","718.953,71","23.821,00","30,18","Indien","National Stock Exchange Of India","INR"
"GULF.R","GULF ENERGY DEVELOPMENT PCL NON-VO","Versorger","Aktien","718.360,59","0,06","718.360,59","493.510,00","1,46","Thailand","Stock Exchange Of Thailand","THB"
"1548","GENSCRIPT BIOTECH CORP","Gesundheitsversorgung","Aktien","718.287,73","0,06","718.287,73","211.236,00","3,40","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"COMI","COMMERCIAL INTERNATIONAL BANK","Financials","Aktien","718.116,24","0,06","718.116,24","275.599,00","2,61","Ägypten","Egyptian Exchange","EGP"
"5110","SAUDI ELECTRICITY","Versorger","Aktien","716.296,20","0,06","716.296,20","90.174,00","7,94","Saudi-Arabien","Saudi Stock Exchange","SAR"
"018260","SAMSUNG SDS LTD","IT","Aktien","711.512,31","0,06","711.512,31","6.027,00","118,05","Korea","Korea Exchange (Stock Market)","KRW"
"998","CHINA CITIC BANK CORP LTD H","Financials","Aktien","710.592,13","0,06","710.592,13","1.539.800,00","0,46","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"4904","FAR EASTONE TELECOMMUNICATIONS LTD","Kommunikation","Aktien","708.397,74","0,06","708.397,74","273.975,00","2,59","Taiwan","Taiwan Stock Exchange","TWD"
"SRF","SRF LTD","Materialien","Aktien","708.150,71","0,06","708.150,71","23.651,00","29,94","Indien","National Stock Exchange Of India","INR"
"BVT","BIDVEST GROUP LTD","Industrie","Aktien","706.688,36","0,06","706.688,36","49.970,00","14,14","Südafrika","Johannesburg Stock Exchange","ZAR"
"BBNI","BANK NEGARA INDONESIA","Financials","Aktien","706.305,39","0,06","706.305,39","1.297.240,00","0,54","Indonesien","Indonesia Stock Exchange","IDR"
"OMU","OLD MUTUAL LIMITED LTD","Financials","Aktien","701.640,45","0,06","701.640,45","835.382,00","0,84","Südafrika","Johannesburg Stock Exchange","ZAR"
"DIB","DB ISLAMIC BANK","Financials","Aktien","700.712,72","0,06","700.712,72","424.012,00","1,65","Ver. Arabische Emirate","Dubai Financial Market","AED"
"AGLTY","THE PUBLIC WAREHOUSING (AGILITY)","Industrie","Aktien","694.601,32","0,06","694.601,32","205.537,00","3,38","Kuwait","Kuwait Stock Exchange","KWD"
"1801","INNOVENT BIOLOGICS INC","Gesundheitsversorgung","Aktien","693.529,01","0,06","693.529,01","198.000,00","3,50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"RENT3","LOCALIZA RENT A CAR SA","Industrie","Aktien","681.969,33","0,06","681.969,33","62.557,00","10,90","Brasilien","XBSP","BRL"
"270","GUANGDONG INVESTMENT LTD","Versorger","Aktien","679.385,37","0,06","679.385,37","512.000,00","1,33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"5347","VANGUARD INTERNATIONAL SEMICONDUCT","IT","Aktien","677.978,06","0,06","677.978,06","155.000,00","4,37","Taiwan","Gretai Securities Market","TWD"
"MPHC","MESAIEED PETROCHEMICAL HOLDING","Materialien","Aktien","675.350,49","0,06","675.350,49","816.553,00","0,83","Qatar","Qatar Exchange","QAR"
"BEKE","KE HOLDINGS ADR REPRESENTING INC","Immobilien","Aktien","670.439,00","0,06","670.439,00","60.949,00","11,00","China","New York Stock Exchange Inc.","USD"
"BPCL","BHARAT PETROLEUM LTD","Energie","Aktien","669.505,54","0,06","669.505,54","146.380,00","4,57","Indien","National Stock Exchange Of India","INR"
"010130","KOREA ZINC INC","Materialien","Aktien","668.985,96","0,06","668.985,96","1.434,00","466,52","Korea","Korea Exchange (Stock Market)","KRW"
"8046","NAN YA PRINTED CIRCUIT BOARD CORP","IT","Aktien","668.206,99","0,06","668.206,99","38.000,00","17,58","Taiwan","Taiwan Stock Exchange","TWD"
"003490","KOREAN AIR LINES LTD","Industrie","Aktien","667.260,33","0,06","667.260,33","29.375,00","22,72","Korea","Korea Exchange (Stock Market)","KRW"
"HTO","HELLENIC TELECOMMUNICATIONS ORGANI","Kommunikation","Aktien","665.750,33","0,06","665.750,33","37.297,00","17,85","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"8069","E INK HOLDINGS INC","IT","Aktien","665.420,30","0,06","665.420,30","144.000,00","4,62","Taiwan","Gretai Securities Market","TWD"
"2615","WAN HAI LINES LTD","Industrie","Aktien","664.933,51","0,05","664.933,51","106.800,00","6,23","Taiwan","Taiwan Stock Exchange","TWD"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Financials","Aktien","662.611,55","0,05","662.611,55","397.529,00","1,67","Mexiko","Bolsa Mexicana De Valores","MXN"
"402340","SK SQUARE LTD","IT","Aktien","660.153,63","0,05","660.153,63","15.623,00","42,26","Korea","Korea Exchange (Stock Market)","KRW"
"GGBR4","GERDAU PREF SA","Materialien","Aktien","659.754,89","0,05","659.754,89","110.374,00","5,98","Brasilien","XBSP","BRL"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Industrie","Aktien","655.855,76","0,05","655.855,76","34.477,00","19,02","Mexiko","Bolsa Mexicana De Valores","MXN"
"HAVELLS","HAVELLS INDIA LTD","Industrie","Aktien","648.421,96","0,05","648.421,96","43.875,00","14,78","Indien","National Stock Exchange Of India","INR"
"EA.R","ENERGY ABSOLUTE NON-VOTING DR PCL","Versorger","Aktien","647.331,62","0,05","647.331,62","251.700,00","2,57","Thailand","Stock Exchange Of Thailand","THB"
"EXX","EXXARO RESOURCES LTD","Energie","Aktien","645.299,80","0,05","645.299,80","46.077,00","14,00","Südafrika","Johannesburg Stock Exchange","ZAR"
"WHL","WOOLWORTHS HOLDING LTD","Zyklische Konsumgüter ","Aktien","643.729,07","0,05","643.729,07","176.955,00","3,64","Südafrika","Johannesburg Stock Exchange","ZAR"
"2474","CATCHER TECHNOLOGY LTD","IT","Aktien","642.726,52","0,05","642.726,52","124.799,00","5,15","Taiwan","Taiwan Stock Exchange","TWD"
"6505","FORMOSA PETROCHEMICAL CORP","Energie","Aktien","641.371,27","0,05","641.371,27","185.533,00","3,46","Taiwan","Taiwan Stock Exchange","TWD"
"6186","CHINA FEIHE LTD","Nichtzyklische Konsumgüter","Aktien","640.457,14","0,05","640.457,14","617.000,00","1,04","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2324","COMPAL ELECTRONICS INC","IT","Aktien","639.503,83","0,05","639.503,83","705.420,00","0,91","Taiwan","Taiwan Stock Exchange","TWD"
"COALINDIA","COAL INDIA LTD","Energie","Aktien","638.070,90","0,05","638.070,90","272.076,00","2,35","Indien","National Stock Exchange Of India","INR"
"135","KUNLUN ENERGY LTD","Versorger","Aktien","634.142,10","0,05","634.142,10","674.000,00","0,94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CHOLAFIN","CHOLAMANDALAM INVESTMENT AND FINAN","Financials","Aktien","634.091,67","0,05","634.091,67","72.167,00","8,79","Indien","National Stock Exchange Of India","INR"
"322","TINGYI (CAYMAN ISLANDS) HOLDINGS C","Nichtzyklische Konsumgüter","Aktien","630.542,27","0,05","630.542,27","336.000,00","1,88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2377","MICRO-STAR INTERNATIONAL LTD","IT","Aktien","629.814,81","0,05","629.814,81","121.460,00","5,19","Taiwan","Taiwan Stock Exchange","TWD"
"034220","LG DISPLAY LTD","IT","Aktien","628.508,53","0,05","628.508,53","41.062,00","15,31","Korea","Korea Exchange (Stock Market)","KRW"
"009830","HANWHA SOLUTIONS CORP","Materialien","Aktien","627.712,27","0,05","627.712,27","21.298,00","29,47","Korea","Korea Exchange (Stock Market)","KRW"
"028050","SAMSUNG ENGINEERING LTD","Industrie","Aktien","621.840,83","0,05","621.840,83","29.376,00","21,17","Korea","Korea Exchange (Stock Market)","KRW"
"ICICIGI","ICICI LOMBARD GENERAL INSURANCE CO","Financials","Aktien","621.644,27","0,05","621.644,27","37.642,00","16,51","Indien","National Stock Exchange Of India","INR"
"2202","CHINA VANKE LTD H","Immobilien","Aktien","617.595,17","0,05","617.595,17","292.800,00","2,11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"352820","HYBE LTD","Kommunikation","Aktien","617.451,66","0,05","617.451,66","2.661,00","232,04","Korea","Korea Exchange (Stock Market)","KRW"
"BEL","BHARAT ELECTRONICS LTD","Industrie","Aktien","614.089,49","0,05","614.089,49","216.185,00","2,84","Indien","National Stock Exchange Of India","INR"
"BILI","BILIBILI AMERICAN DEPOSITARY SHARE","Kommunikation","Aktien","610.660,56","0,05","610.660,56","28.167,00","21,68","China","NASDAQ","USD"
"MRP","MR PRICE GROUP LTD","Zyklische Konsumgüter ","Aktien","610.452,71","0,05","610.452,71","45.987,00","13,27","Südafrika","Johannesburg Stock Exchange","ZAR"
"881","ZHONGSHENG GROUP HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","609.728,93","0,05","609.728,93","96.846,00","6,30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"066970","L&F LTD","IT","Aktien","607.160,59","0,05","607.160,59","3.850,00","157,70","Korea","Korea Exchange (Kosdaq)","KRW"
"1140","BANK ALBILAD","Financials","Aktien","603.259,50","0,05","603.259,50","39.704,00","15,19","Saudi-Arabien","Saudi Stock Exchange","SAR"
"HEROMOTOCO","HERO MOTOCORP LTD","Zyklische Konsumgüter ","Aktien","600.557,36","0,05","600.557,36","19.746,00","30,41","Indien","National Stock Exchange Of India","INR"
"2344","WINBOND ELECTRONICS CORP","IT","Aktien","599.068,75","0,05","599.068,75","510.000,00","1,17","Taiwan","Taiwan Stock Exchange","TWD"
"323410","KAKAOBANK CORP","Financials","Aktien","593.598,45","0,05","593.598,45","15.142,00","39,20","Korea","Korea Exchange (Stock Market)","KRW"
"BBAS3","BANCO DO BRASIL SA","Financials","Aktien","593.283,89","0,05","593.283,89","87.873,00","6,75","Brasilien","XBSP","BRL"
"LU","LUFAX HLDG AMERICAN DEPOSITARY SH","Financials","Aktien","592.010,16","0,05","592.010,16","100.682,00","5,88","China","New York Stock Exchange Inc.","USD"
"2347","SYNNEX TECHNOLOGY INTERNATIONAL CO","IT","Aktien","590.880,28","0,05","590.880,28","229.150,00","2,58","Taiwan","Taiwan Stock Exchange","TWD"
"MINDTREE","MINDTREE LTD","IT","Aktien","583.672,36","0,05","583.672,36","10.893,00","53,58","Indien","National Stock Exchange Of India","INR"
"BPI","BANK OF THE PHILIPPINE ISLANDS","Financials","Aktien","581.237,33","0,05","581.237,33","319.084,00","1,82","Philippinen","Philippine Stock Exchange Inc.","PHP"
"MDKA","MERDEKA COPPER GOLD","Materialien","Aktien","581.244,61","0,05","581.244,61","1.890.700,00","0,31","Indonesien","Indonesia Stock Exchange","IDR"
"1772","GANFENG LITHIUM LTD H","Materialien","Aktien","580.471,97","0,05","580.471,97","43.000,00","13,50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1102","ASIA CEMENT CORP","Materialien","Aktien","579.567,34","0,05","579.567,34","353.717,00","1,64","Taiwan","Taiwan Stock Exchange","TWD"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Immobilien","Aktien","577.423,52","0,05","577.423,52","555.737,00","1,04","Mexiko","Bolsa Mexicana De Valores","MXN"
"EREGL.E","EREGLI DEMIR VE CELIK FABRIKALARI","Materialien","Aktien","576.437,02","0,05","576.437,02","246.759,00","2,34","Türkei","Istanbul Stock Exchange","TRY"
"BOUBYAN","BOUBYAN BANK","Financials","Aktien","572.754,89","0,05","572.754,89","186.176,00","3,08","Kuwait","Kuwait Stock Exchange","KWD"
"3702","WPG HOLDINGS LTD","IT","Aktien","569.881,41","0,05","569.881,41","282.440,00","2,02","Taiwan","Taiwan Stock Exchange","TWD"
"GODREJCP","GODREJ CONSUMER PRODUCTS LTD","Nichtzyklische Konsumgüter","Aktien","569.592,96","0,05","569.592,96","61.142,00","9,32","Indien","National Stock Exchange Of India","INR"
"CPN.R","CENTRAL PATTANA NON-VOTING DR PCL","Immobilien","Aktien","566.209,37","0,05","566.209,37","339.700,00","1,67","Thailand","Stock Exchange Of Thailand","THB"
"MCG","MULTICHOICE GROUP LTD","Kommunikation","Aktien","563.476,21","0,05","563.476,21","66.302,00","8,50","Südafrika","Johannesburg Stock Exchange","ZAR"
"032830","SAMSUNG LIFE LTD","Financials","Aktien","562.637,57","0,05","562.637,57","11.634,00","48,36","Korea","Korea Exchange (Stock Market)","KRW"
"1193","CHINA RESOURCES GAS GROUP LTD","Versorger","Aktien","561.910,36","0,05","561.910,36","148.000,00","3,80","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MPHASIS","MPHASIS LTD","IT","Aktien","560.274,80","0,05","560.274,80","13.352,00","41,96","Indien","National Stock Exchange Of India","INR"
"MARICO","MARICO LTD","Nichtzyklische Konsumgüter","Aktien","559.382,54","0,05","559.382,54","85.231,00","6,56","Indien","National Stock Exchange Of India","INR"
"PTTGC.R","PTT GLOBAL CHEMICAL NON-VOTING DR","Materialien","Aktien","558.656,01","0,05","558.656,01","370.361,00","1,51","Thailand","Stock Exchange Of Thailand","THB"
"MCDOWELL.N","UNITED SPIRITS LTD","Nichtzyklische Konsumgüter","Aktien","558.486,69","0,05","558.486,69","50.340,00","11,09","Indien","National Stock Exchange Of India","INR"
"VIPS","VIPSHOP HOLDINGS SPONSORED ADS REP","Zyklische Konsumgüter ","Aktien","556.313,58","0,05","556.313,58","77.481,00","7,18","China","New York Stock Exchange Inc.","USD"
"BSANTANDER","BANCO SANTANDER CHILE","Financials","Aktien","555.654,98","0,05","555.654,98","10.943.999,00","0,05","Chile","Santiago Stock Exchange","CLP"
"HLBANK","HONG LEONG BANK","Financials","Aktien","554.558,26","0,05","554.558,26","115.196,00","4,81","Malaysia","Bursa Malaysia","MYR"
"JGS","JG SUMMIT HOLDINGS INC","Industrie","Aktien","553.573,91","0,05","553.573,91","507.386,00","1,09","Philippinen","Philippine Stock Exchange Inc.","PHP"
"MINT.R","MINOR INTERNATIONAL PUBLIC NON-VOT","Zyklische Konsumgüter ","Aktien","552.985,14","0,05","552.985,14","596.100,00","0,93","Thailand","Stock Exchange Of Thailand","THB"
"SHREECEM","SHREE CEMENT LTD","Materialien","Aktien","548.067,34","0,05","548.067,34","1.884,00","290,91","Indien","National Stock Exchange Of India","INR"
"3105","WIN SEMICONDUCTORS CORP","IT","Aktien","547.168,56","0,05","547.168,56","52.493,00","10,42","Taiwan","Gretai Securities Market","TWD"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","IT","Aktien","545.531,34","0,05","545.531,34","53.500,00","10,20","Thailand","Stock Exchange Of Thailand","THB"
"000720","HYUNDAI ENGINEERING & CONSTRUCTION","Industrie","Aktien","543.929,37","0,04","543.929,37","13.875,00","39,20","Korea","Korea Exchange (Stock Market)","KRW"
"2408","NANYA TECHNOLOGY CORP","IT","Aktien","543.818,12","0,04","543.818,12","201.000,00","2,71","Taiwan","Taiwan Stock Exchange","TWD"
"010950","S-OIL CORP","Energie","Aktien","539.935,52","0,04","539.935,52","7.519,00","71,81","Korea","Korea Exchange (Stock Market)","KRW"
"247540","ECOPRO BM LTD","Industrie","Aktien","538.547,77","0,04","538.547,77","1.841,00","292,53","Korea","Korea Exchange (Kosdaq)","KRW"
"DLF","DLF LTD","Immobilien","Aktien","537.192,15","0,04","537.192,15","115.580,00","4,65","Indien","National Stock Exchange Of India","INR"
"BPAC11","BCO BTG PACTUAL UNT SA","Financials","Aktien","537.049,48","0,04","537.049,48","110.984,00","4,84","Brasilien","XBSP","BRL"
"1816","CGN POWER LTD H","Versorger","Aktien","536.771,66","0,04","536.771,66","1.953.000,00","0,27","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GDS","GDS HOLDINGS LIMITED ADR REPRESENT","IT","Aktien","536.143,96","0,04","536.143,96","15.572,00","34,43","China","NASDAQ","USD"
"PETGAS","PETRONAS GAS","Versorger","Aktien","535.158,12","0,04","535.158,12","130.297,00","4,11","Malaysia","Bursa Malaysia","MYR"
"3908","CHINA INTERNATIONAL CAPITAL CORP L","Financials","Aktien","535.113,39","0,04","535.113,39","246.234,00","2,17","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"DIGI","DIGI.COM","Kommunikation","Aktien","535.090,94","0,04","535.090,94","567.298,00","0,94","Malaysia","Bursa Malaysia","MYR"
"2290","YANBU NATIONAL PETROCHEMICALS","Materialien","Aktien","532.944,16","0,04","532.944,16","28.562,00","18,66","Saudi-Arabien","Saudi Stock Exchange","SAR"
"1402","FAR EASTERN NEW CENTURY CORP","Industrie","Aktien","531.228,75","0,04","531.228,75","498.669,00","1,07","Taiwan","Taiwan Stock Exchange","TWD"
"1066","SHANDONG WEIGAO GP MEDICAL POLYMER","Gesundheitsversorgung","Aktien","529.776,29","0,04","529.776,29","426.800,00","1,24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ADRO","ADARO ENERGY TBK","Energie","Aktien","529.304,76","0,04","529.304,76","2.536.400,00","0,21","Indonesien","Indonesia Stock Exchange","IDR"
"1044","HENGAN INTERNATIONAL GROUP LTD","Nichtzyklische Konsumgüter","Aktien","528.999,05","0,04","528.999,05","105.565,00","5,01","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"COPEC","EMPRESAS COPEC SA","Energie","Aktien","528.767,19","0,04","528.767,19","64.456,00","8,20","Chile","Santiago Stock Exchange","CLP"
"BAJAJ.AUTO","BAJAJ AUTO LTD","Zyklische Konsumgüter ","Aktien","525.338,91","0,04","525.338,91","11.713,00","44,85","Indien","National Stock Exchange Of India","INR"
"GAIL","GAIL INDIA LTD","Versorger","Aktien","523.772,39","0,04","523.772,39","270.959,00","1,93","Indien","National Stock Exchange Of India","INR"
"ADIB","ABU DHABI ISLAMIC BANK","Financials","Aktien","521.242,15","0,04","521.242,15","210.159,00","2,48","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"6409","VOLTRONIC POWER TECHNOLOGY CORP","Industrie","Aktien","518.536,81","0,04","518.536,81","10.000,00","51,85","Taiwan","Taiwan Stock Exchange","TWD"
"GRT","GROWTHPOINT PROP LTD SHS","Immobilien","Aktien","516.754,35","0,04","516.754,35","612.832,00","0,84","Südafrika","Johannesburg Stock Exchange","ZAR"
"021240","COWAY LTD","Zyklische Konsumgüter ","Aktien","515.795,64","0,04","515.795,64","9.155,00","56,34","Korea","Korea Exchange (Stock Market)","KRW"
"PAGEIND","PAGE INDUSTRIES LTD","Zyklische Konsumgüter ","Aktien","513.144,95","0,04","513.144,95","955,00","537,32","Indien","National Stock Exchange Of India","INR"
"9921","GIANT MANUFACTURING LTD","Zyklische Konsumgüter ","Aktien","512.013,83","0,04","512.013,83","50.052,00","10,23","Taiwan","Taiwan Stock Exchange","TWD"
"ADNOCDIST","ABU DHABI NATIONAL OIL COMPANY FOR","Zyklische Konsumgüter ","Aktien","510.440,08","0,04","510.440,08","455.066,00","1,12","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"BCOLOMBIA","BANCOLOMBIA SA","Financials","Aktien","509.944,21","0,04","509.944,21","49.082,00","10,39","Kolumbien","Bolsa De Valores De Colombia","COP"
"IOC","INDIAN OIL CORP LTD","Energie","Aktien","508.023,29","0,04","508.023,29","320.502,00","1,59","Indien","National Stock Exchange Of India","INR"
"1099","SINOPHARM GROUP LTD H","Gesundheitsversorgung","Aktien","507.591,85","0,04","507.591,85","214.400,00","2,37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BBDC3","BANCO BRADESCO SA","Financials","Aktien","507.012,51","0,04","507.012,51","148.967,00","3,40","Brasilien","XBSP","BRL"
"2310","SAHARA INTERNATIONAL PETROCHEMICAL","Materialien","Aktien","506.875,38","0,04","506.875,38","38.807,00","13,06","Saudi-Arabien","Saudi Stock Exchange","SAR"
"2380","CHINA POWER INTERNATIONAL DEVELOPM","Versorger","Aktien","506.562,81","0,04","506.562,81","839.542,00","0,60","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2338","WEICHAI POWER LTD H","Industrie","Aktien","506.099,76","0,04","506.099,76","337.800,00","1,50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"KIO","KUMBA IRON ORE LTD","Materialien","Aktien","505.853,20","0,04","505.853,20","11.888,00","42,55","Südafrika","Johannesburg Stock Exchange","ZAR"
"009540","KOREA SHIPBUILDING AND OFFSHORE EN","Industrie","Aktien","505.636,48","0,04","505.636,48","6.780,00","74,58","Korea","Korea Exchange (Stock Market)","KRW"
"1378","CHINA HONGQIAO GROUP LTD","Materialien","Aktien","503.668,86","0,04","503.668,86","394.000,00","1,28","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1476","ECLAT TEXTILE LTD","Zyklische Konsumgüter ","Aktien","503.446,96","0,04","503.446,96","31.506,00","15,98","Taiwan","Taiwan Stock Exchange","TWD"
"3888","KINGSOFT CORP LTD","Kommunikation","Aktien","499.897,73","0,04","499.897,73","165.000,00","3,03","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrie","Aktien","499.037,96","0,04","499.037,96","105.498,00","4,73","Korea","Korea Exchange (Stock Market)","KRW"
"DNP","DINO POLSKA SA","Nichtzyklische Konsumgüter","Aktien","497.664,19","0,04","497.664,19","8.110,00","61,36","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"CPIN","CHAROEN POKPHAND INDONESIA","Nichtzyklische Konsumgüter","Aktien","497.151,70","0,04","497.151,70","1.240.057,00","0,40","Indonesien","Indonesia Stock Exchange","IDR"
"HMPRO.R","HOME PRODUCT CENTER NON-VOTING DR","Zyklische Konsumgüter ","Aktien","496.941,65","0,04","496.941,65","1.004.413,00","0,49","Thailand","Stock Exchange Of Thailand","THB"
"PIIND","P.I. INDUSTRIES LTD","Materialien","Aktien","496.513,70","0,04","496.513,70","14.884,00","33,36","Indien","National Stock Exchange Of India","INR"
"DQ","DAQO NEW ENERGY ADR REPRESENTING","IT","Aktien","496.161,82","0,04","496.161,82","10.393,00","47,74","China","New York Stock Exchange Inc.","USD"
"RNI","REINET INVESTMENTS S.C.A.","Financials","Aktien","494.767,89","0,04","494.767,89","25.465,00","19,43","Südafrika","Johannesburg Stock Exchange","ZAR"
"UNTR","UNITED TRACTORS","Energie","Aktien","493.978,60","0,04","493.978,60","271.831,00","1,82","Indonesien","Indonesia Stock Exchange","IDR"
"JBSS3","JBS SA","Nichtzyklische Konsumgüter","Aktien","492.115,04","0,04","492.115,04","70.351,00","7,00","Brasilien","XBSP","BRL"
"TRENT","TRENT LTD","Zyklische Konsumgüter ","Aktien","491.482,15","0,04","491.482,15","32.618,00","15,07","Indien","National Stock Exchange Of India","INR"
"MOL","MOL HUNGARIAN OIL AND GAS","Energie","Aktien","491.377,72","0,04","491.377,72","66.416,00","7,40","Ungarn","Budapest Stock Exchange","HUF"
"INTUCH.R","INTOUCH HOLDINGS NON-VOTING DR PCL","Kommunikation","Aktien","490.685,19","0,04","490.685,19","210.550,00","2,33","Thailand","Stock Exchange Of Thailand","THB"
"9945","RUENTEX DEVELOPMENT LTD","Immobilien","Aktien","490.073,48","0,04","490.073,48","193.228,00","2,54","Taiwan","Taiwan Stock Exchange","TWD"
"HAR","HARMONY GOLD MINING COMPANY LIMITE","Materialien","Aktien","488.970,56","0,04","488.970,56","91.907,00","5,32","Südafrika","Johannesburg Stock Exchange","ZAR"
"RICHTER","GEDEON RICHTER","Gesundheitsversorgung","Aktien","488.435,52","0,04","488.435,52","23.748,00","20,57","Ungarn","Budapest Stock Exchange","HUF"
"SRTRANSFIN","SHRIRAM TRANSPORT FINANCE COMPANY","Financials","Aktien","488.247,22","0,04","488.247,22","34.512,00","14,15","Indien","National Stock Exchange Of India","INR"
"9910","FENG TAY ENTERPRISES LTD","Zyklische Konsumgüter ","Aktien","487.738,19","0,04","487.738,19","71.828,00","6,79","Taiwan","Taiwan Stock Exchange","TWD"
"BRL","BRL CASH","Cash und/oder Derivate","Geldmarkt","484.235,59","0,04","484.235,59","2.445.704,00","19,80","Brasilien","-","BRL"
"IHH","IHH HEALTHCARE","Gesundheitsversorgung","Aktien","481.988,66","0,04","481.988,66","314.400,00","1,53","Malaysia","Bursa Malaysia","MYR"
"JUBLFOOD","JUBILANT FOODWORKS LTD","Zyklische Konsumgüter ","Aktien","481.180,28","0,04","481.180,28","13.326,00","36,11","Indien","National Stock Exchange Of India","INR"
"302440","SK BIOSCIENCE LTD","Gesundheitsversorgung","Aktien","480.561,77","0,04","480.561,77","3.935,00","122,12","Korea","Korea Exchange (Stock Market)","KRW"
"2353","ACER","IT","Aktien","478.844,20","0,04","478.844,20","475.473,00","1,01","Taiwan","Taiwan Stock Exchange","TWD"
"148","KINGBOARD HOLDINGS LTD","IT","Aktien","477.328,51","0,04","477.328,51","109.500,00","4,36","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"011170","LOTTE CHEMICAL CORP","Materialien","Aktien","477.071,44","0,04","477.071,44","2.982,00","159,98","Korea","Korea Exchange (Stock Market)","KRW"
"257","CHINA EVERBRIGHT ENVIRONMENT GROUP","Industrie","Aktien","476.507,75","0,04","476.507,75","651.666,00","0,73","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"144","CHINA MERCHANTS PORT HOLDINGS LTD","Industrie","Aktien","476.354,90","0,04","476.354,90","259.494,00","1,84","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"EQTL3","EQUATORIAL ENERGIA SA","Versorger","Aktien","475.592,35","0,04","475.592,35","93.465,00","5,09","Brasilien","XBSP","BRL"
"004020","HYUNDAI STEEL","Materialien","Aktien","474.026,95","0,04","474.026,95","15.064,00","31,47","Korea","Korea Exchange (Stock Market)","KRW"
"QEWS","QATAR ELECTRICITY AND WATER","Versorger","Aktien","473.265,70","0,04","473.265,70","87.577,00","5,40","Qatar","Qatar Exchange","QAR"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Materialien","Aktien","471.089,34","0,04","471.089,34","190.563,00","2,47","Mexiko","Bolsa Mexicana De Valores","MXN"
"RADL3","RAIA DROGASIL SA","Nichtzyklische Konsumgüter","Aktien","469.853,74","0,04","469.853,74","106.130,00","4,43","Brasilien","XBSP","BRL"
"AXIATA","AXIATA GROUP","Kommunikation","Aktien","469.421,48","0,04","469.421,48","517.321,00","0,91","Malaysia","Bursa Malaysia","MYR"
"2801","CHANG HWA COMMERCIAL BANK LTD","Financials","Aktien","468.346,04","0,04","468.346,04","752.246,00","0,62","Taiwan","Taiwan Stock Exchange","TWD"
