Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Aktien","3.037.753,39","0,25","3.037.753,39","3.213.331,00","0,95","Taiwan","Taiwan Stock Exchange","TWD"
"105560","KB FINANCIAL GROUP INC","Financials","Aktien","3.009.768,04","0,25","3.009.768,04","67.706,00","44,45","Korea","Korea Exchange (Stock Market)","KRW"
"2308","DELTA ELECTRONICS INC","IT","Aktien","3.009.166,92","0,25","3.009.166,92","335.194,00","8,98","Taiwan","Taiwan Stock Exchange","TWD"
"HCLTECH","HCL TECHNOLOGIES LTD","IT","Aktien","2.920.576,11","0,24","2.920.576,11","186.935,00","15,62","Indien","National Stock Exchange Of India","INR"
"005490","POSCO","Materialien","Aktien","2.916.362,71","0,24","2.916.362,71","12.635,00","230,82","Korea","Korea Exchange (Stock Market)","KRW"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Aktien","2.914.048,60","0,24","2.914.048,60","446.980,00","6,52","Mexiko","Bolsa Mexicana De Valores","MXN"
"GMEXICOB","GRUPO MEXICO B","Materialien","Aktien","2.891.797,15","0,24","2.891.797,15","524.512,00","5,51","Mexiko","Bolsa Mexicana De Valores","MXN"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Aktien","2.872.735,90","0,24","2.872.735,90","1.350.567,00","2,13","Taiwan","Taiwan Stock Exchange","TWD"
"2412","CHUNGHWA TELECOM LTD","Kommunikation","Aktien","2.830.683,45","0,23","2.830.683,45","652.415,00","4,34","Taiwan","Taiwan Stock Exchange","TWD"
"1303","NAN YA PLASTICS CORP","Materialien","Aktien","2.779.531,13","0,23","2.779.531,13","879.430,00","3,16","Taiwan","Taiwan Stock Exchange","TWD"
"2002","CHINA STEEL CORP","Materialien","Aktien","2.724.324,43","0,23","2.724.324,43","2.016.498,00","1,35","Taiwan","Taiwan Stock Exchange","TWD"
