Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"105560","KB FINANCIAL GROUP INC","Financials","Equity","3,009,768.04","0.25","3,009,768.04","67,706.00","44.45","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","3,009,166.92","0.25","3,009,166.92","335,194.00","8.98","Taiwan","Taiwan Stock Exchange","TWD"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","2,920,576.11","0.24","2,920,576.11","186,935.00","15.62","India","National Stock Exchange Of India","INR"
"005490","POSCO","Materials","Equity","2,916,362.71","0.24","2,916,362.71","12,635.00","230.82","Korea (South)","Korea Exchange (Stock Market)","KRW"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","2,914,048.60","0.24","2,914,048.60","446,980.00","6.52","Mexico","Bolsa Mexicana De Valores","MXN"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","2,891,797.15","0.24","2,891,797.15","524,512.00","5.51","Mexico","Bolsa Mexicana De Valores","MXN"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","2,872,735.90","0.24","2,872,735.90","1,350,567.00","2.13","Taiwan","Taiwan Stock Exchange","TWD"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","2,830,683.45","0.23","2,830,683.45","652,415.00","4.34","Taiwan","Taiwan Stock Exchange","TWD"
"1303","NAN YA PLASTICS CORP","Materials","Equity","2,779,531.13","0.23","2,779,531.13","879,430.00","3.16","Taiwan","Taiwan Stock Exchange","TWD"
"2002","CHINA STEEL CORP","Materials","Equity","2,724,324.43","0.23","2,724,324.43","2,016,498.00","1.35","Taiwan","Taiwan Stock Exchange","TWD"
"PBBANK","PUBLIC BANK","Financials","Equity","2,693,316.65","0.22","2,693,316.65","2,495,340.00","1.08","Malaysia","Bursa Malaysia","MYR"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","2,685,862.08","0.22","2,685,862.08","75,108.00","35.76","China","NASDAQ","USD"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","2,676,609.34","0.22","2,676,609.34","118,180.00","22.65","India","National Stock Exchange Of India","INR"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","2,662,246.38","0.22","2,662,246.38","808,258.00","3.29","Kuwait","Kuwait Stock Exchange","KWD"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","2,625,669.28","0.22","2,625,669.28","371,987.00","7.06","Brazil","XBSP","BRL"
"TLKM","TELEKOMUNIKASI INDONESIA","Communication","Equity","2,622,355.24","0.22","2,622,355.24","8,491,436.00","0.31","Indonesia","Indonesia Stock Exchange","IDR"
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","2,606,330.39","0.22","2,606,330.39","45,279.00","57.56","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","2,587,748.45","0.21","2,587,748.45","549,333.00","4.71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GFI","GOLD FIELDS LTD","Materials","Equity","2,581,472.87","0.21","2,581,472.87","152,825.00","16.89","South Africa","Johannesburg Stock Exchange","ZAR"
"2222","SAUDI ARABIAN OIL","Energy","Equity","2,544,036.87","0.21","2,544,036.87","232,213.00","10.96","Saudi Arabia","Saudi Stock Exchange","SAR"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","2,525,645.24","0.21","2,525,645.24","330,478.00","7.64","Mexico","Bolsa Mexicana De Valores","MXN"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","2,495,147.88","0.21","2,495,147.88","65,364.00","38.17","India","National Stock Exchange Of India","INR"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","2,463,709.36","0.20","2,463,709.36","1,825,979.00","1.35","Taiwan","Taiwan Stock Exchange","TWD"
"LI","LI AUTO ADR INC","Consumer Discretionary","Equity","2,452,546.35","0.20","2,452,546.35","94,365.00","25.99","China","NASDAQ","USD"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Industrials","Equity","2,434,379.20","0.20","2,434,379.20","442,386.00","5.50","Taiwan","Taiwan Stock Exchange","TWD"
"1301","FORMOSA PLASTICS CORP","Materials","Equity","2,411,048.01","0.20","2,411,048.01","650,960.00","3.70","Taiwan","Taiwan Stock Exchange","TWD"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","2,398,775.29","0.20","2,398,775.29","186,899.00","12.83","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"068270","CELLTRION INC","Health Care","Equity","2,372,631.79","0.20","2,372,631.79","16,845.00","140.85","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","2,369,103.00","0.20","2,369,103.00","476,334.00","4.97","Brazil","XBSP","BRL"
"SBK","STANDARD BANK GROUP","Financials","Equity","2,357,920.36","0.19","2,357,920.36","222,961.00","10.58","South Africa","Johannesburg Stock Exchange","ZAR"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","2,306,467.66","0.19","2,306,467.66","76,359.00","30.21","Korea (South)","Korea Exchange (Stock Market)","KRW"
"IMP","IMPALA PLATINUM LTD","Materials","Equity","2,299,383.38","0.19","2,299,383.38","136,318.00","16.87","South Africa","Johannesburg Stock Exchange","ZAR"
"SOL","SASOL LTD","Materials","Equity","2,268,715.68","0.19","2,268,715.68","96,798.00","23.44","South Africa","Johannesburg Stock Exchange","ZAR"
"2382","SUNNY OPTICAL TECHNOLOGY LTD","Information Technology","Equity","2,231,991.38","0.18","2,231,991.38","123,131.00","18.13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","2,204,322.28","0.18","2,204,322.28","23,323.00","94.51","India","National Stock Exchange Of India","INR"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","2,177,348.40","0.18","2,177,348.40","2,064,403.00","1.05","Taiwan","Taiwan Stock Exchange","TWD"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","2,168,216.12","0.18","2,168,216.12","94,306.00","22.99","India","National Stock Exchange Of India","INR"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","2,133,933.07","0.18","2,133,933.07","124,421.00","17.15","India","National Stock Exchange Of India","INR"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","2,111,219.51","0.17","2,111,219.51","108,457.00","19.47","India","National Stock Exchange Of India","INR"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","2,101,509.60","0.17","2,101,509.60","270,050.00","7.78","India","National Stock Exchange Of India","INR"
"SSW","SIBANYE STILLWATER LTD","Materials","Equity","2,043,504.19","0.17","2,043,504.19","446,896.00","4.57","South Africa","Johannesburg Stock Exchange","ZAR"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","2,023,885.61","0.17","2,023,885.61","11,325.00","178.71","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PTT.R","PTT NON-VOTING DR PCL","Energy","Equity","2,003,111.09","0.17","2,003,111.09","1,713,500.00","1.17","Thailand","Stock Exchange Of Thailand","THB"
