Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","44,822,656.11","0.10","44,822,656.11","495,771.00","90.41","United States","New York Stock Exchange Inc.","USD"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","44,753,359.21","0.10","44,753,359.21","121,063.00","369.67","United States","New York Stock Exchange Inc.","USD"
"FISV","FISERV INC","Information Technology","Equity","44,728,819.10","0.10","44,728,819.10","470,582.00","95.05","United States","NASDAQ","USD"
"FDX","FEDEX CORP","Industrials","Equity","44,312,540.96","0.10","44,312,540.96","202,082.00","219.28","United States","New York Stock Exchange Inc.","USD"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","44,153,979.00","0.10","44,153,979.00","185,716.00","237.75","United States","New York Stock Exchange Inc.","USD"
"MBG","MERCEDES-BENZ GROUP N AG","Consumer Discretionary","Equity","44,099,946.23","0.10","44,099,946.23","677,332.00","65.11","Germany","Xetra","EUR"
"REL","RELX PLC","Industrials","Equity","43,988,111.59","0.10","43,988,111.59","1,589,460.00","27.67","United Kingdom","London Stock Exchange","GBP"
"SAN","BANCO SANTANDER SA","Financials","Equity","43,426,716.92","0.10","43,426,716.92","13,814,423.00","3.14","Spain","Bolsa De Madrid","EUR"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","Financials","Equity","43,413,655.45","0.10","43,413,655.45","2,289,094.00","18.97","Australia","Asx - All Markets","AUD"
"BAS","BASF N","Materials","Equity","43,057,635.52","0.10","43,057,635.52","734,403.00","58.63","Germany","Xetra","EUR"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","43,020,167.85","0.10","43,020,167.85","1,027,961.00","41.85","United States","New York Stock Exchange Inc.","USD"
"ABBN","ABB LTD","Industrials","Equity","42,983,676.97","0.10","42,983,676.97","1,308,343.00","32.85","Switzerland","SIX Swiss Exchange","CHF"
"TRP","TC ENERGY CORP","Energy","Equity","42,965,221.72","0.10","42,965,221.72","766,354.00","56.06","Canada","Toronto Stock Exchange","CAD"
"NTR","NUTRIEN LTD","Materials","Equity","42,911,207.04","0.10","42,911,207.04","421,447.00","101.82","Canada","Toronto Stock Exchange","CAD"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","42,604,154.88","0.10","42,604,154.88","180,894.00","235.52","United States","New York Stock Exchange Inc.","USD"
"DG","VINCI SA","Industrials","Equity","42,560,709.07","0.10","42,560,709.07","439,688.00","96.80","France","Nyse Euronext - Euronext Paris","EUR"
"RKT","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","42,514,007.79","0.10","42,514,007.79","564,557.00","75.31","United Kingdom","London Stock Exchange","GBP"
"MCO","MOODYS CORP","Financials","Equity","41,993,104.00","0.09","41,993,104.00","133,736.00","314.00","United States","New York Stock Exchange Inc.","USD"
"PRX","PROSUS NV","Consumer Discretionary","Equity","41,931,608.37","0.09","41,931,608.37","741,970.00","56.51","Netherlands","Euronext Amsterdam","EUR"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","41,930,215.34","0.09","41,930,215.34","721,318.00","58.13","United States","New York Stock Exchange Inc.","USD"
"ENEL","ENEL","Utilities","Equity","41,879,781.44","0.09","41,879,781.44","6,622,862.00","6.32","Italy","Borsa Italiana","EUR"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","41,768,939.25","0.09","41,768,939.25","640,137.00","65.25","United States","NASDAQ","USD"
"NG.","NATIONAL GRID PLC","Utilities","Equity","41,709,550.91","0.09","41,709,550.91","2,803,091.00","14.88","United Kingdom","London Stock Exchange","GBP"
"9433","KDDI CORP","Communication","Equity","41,506,287.67","0.09","41,506,287.67","1,260,350.00","32.93","Japan","Tokyo Stock Exchange","JPY"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","41,464,992.00","0.09","41,464,992.00","163,248.00","254.00","United States","New York Stock Exchange Inc.","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","40,841,866.65","0.09","40,841,866.65","74,009.00","551.85","United States","NASDAQ","USD"
"CS","AXA SA","Financials","Equity","40,264,170.15","0.09","40,264,170.15","1,546,111.00","26.04","France","Nyse Euronext - Euronext Paris","EUR"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","40,015,038.80","0.09","40,015,038.80","175,813.00","227.60","United States","New York Stock Exchange Inc.","USD"
"CNC","CENTENE CORP","Health Care","Equity","40,003,027.80","0.09","40,003,027.80","473,745.00","84.44","United States","New York Stock Exchange Inc.","USD"
"KLAC","KLA CORP","Information Technology","Equity","39,919,051.48","0.09","39,919,051.48","121,412.00","328.79","United States","NASDAQ","USD"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","39,817,939.00","0.09","39,817,939.00","220,598.00","180.50","United States","NASDAQ","USD"
"SU","SUNCOR ENERGY INC","Energy","Equity","39,407,030.36","0.09","39,407,030.36","1,245,081.00","31.65","Canada","Toronto Stock Exchange","CAD"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","39,088,507.92","0.09","39,088,507.92","686,004.00","56.98","United States","New York Stock Exchange Inc.","USD"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","38,761,849.44","0.09","38,761,849.44","442,184.00","87.66","United States","NASDAQ","USD"
"ABI","ANHEUSER BUSCH INBEV SA","Consumer Staples","Equity","38,760,842.54","0.09","38,760,842.54","692,616.00","55.96","Belgium","Nyse Euronext - Euronext Brussels","EUR"
